id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_0,,,0,Plan Comptable Général Personnalisé,View,account.data_account_type_view,False,
pcg_Classes_1_a_5,pcg_0,,Classes 1 à 5,Comptes de bilan,View,account.data_account_type_view,False,
pcg_Classe_1,pcg_Classes_1_a_5,,Classe 1,Comptes de capitaux,View,account.data_account_type_view,False,"Capitaux propres, autres fonds propres, emprunts et dettes assimilées"
pcg_10,pcg_Classe_1,,10,Capital et réserves,View,account.data_account_type_view,False,
pcg_101,pcg_10,,101,Capital,View,account.data_account_type_view,False,"Capital pour sociétés de type (SARL, SA). Pour une EI utiliser le compte 108"
pcg_1011,pcg_101,,1011,Capital souscrit - non appelé,Regular,account.data_account_type_liability,False,
pcg_1012,pcg_101,,1012,Capital souscrit - appelé non versé,Regular,account.data_account_type_liability,False,
pcg_1013,pcg_101,,1013,Capital souscrit - appelé versé,View,account.data_account_type_view,False,
pcg_10131,pcg_1013,,10131,Capital non amorti,Regular,account.data_account_type_liability,False,
pcg_10132,pcg_1013,,10132,Capital amorti,Regular,account.data_account_type_liability,False,
pcg_1018,pcg_101,,1018,Capital souscrit soumis à des réglementations particulières,Regular,account.data_account_type_liability,False,
pcg_104,pcg_10,,104,Primes liées au capital social,View,account.data_account_type_view,False,
pcg_1041,pcg_104,,1041,Primes d'émission,Regular,account.data_account_type_liability,False,
pcg_1042,pcg_104,,1042,Primes de fusion,Regular,account.data_account_type_liability,False,
pcg_1043,pcg_104,,1043,Primes d'apport,Regular,account.data_account_type_liability,False,
pcg_1044,pcg_104,,1044,Primes de conversion d'obligations en actions,Regular,account.data_account_type_liability,False,
pcg_1045,pcg_104,,1045,Bons de souscription d'actions,Regular,account.data_account_type_liability,False,
pcg_105,pcg_10,,105,Écarts de réévaluation,View,account.data_account_type_view,False,
pcg_1051,pcg_105,,1051,Réserve spéciale de réévaluation,Regular,account.data_account_type_liability,False,
pcg_1052,pcg_105,,1052,Écart de réévaluation libre,Regular,account.data_account_type_liability,False,
pcg_1053,pcg_105,,1053,Réserve de réévaluation,Regular,account.data_account_type_liability,False,
pcg_1055,pcg_105,,1055,Écarts de réévaluation (autres opérations légales),Regular,account.data_account_type_liability,False,
pcg_1057,pcg_105,,1057,Autres écarts de réévaluation en France,Regular,account.data_account_type_liability,False,
pcg_1058,pcg_105,,1058,Autres écarts de réévaluation à l'étranger,Regular,account.data_account_type_liability,False,
pcg_106,pcg_10,,106,Réserves,View,account.data_account_type_view,False,
pcg_1061,pcg_106,,1061,Réserve légale,View,account.data_account_type_view,False,
pcg_10611,pcg_1061,,10611,Réserve légale proprement dite,Regular,account.data_account_type_liability,False,
pcg_10612,pcg_1061,,10612,Plus-values nettes à long terme,Regular,account.data_account_type_liability,False,
pcg_1062,pcg_106,,1062,Réserves indisponibles,Regular,account.data_account_type_liability,False,
pcg_1063,pcg_106,,1063,Réserves statutaires ou contractuelles,Regular,account.data_account_type_liability,False,
pcg_1064,pcg_106,,1064,Réserves réglementées,View,account.data_account_type_view,False,
pcg_10641,pcg_1064,,10641,Plus-values nettes à long terme,Regular,account.data_account_type_liability,False,
pcg_10643,pcg_1064,,10643,Réserves consécutives à l'octroi de subventions d'investissement,Regular,account.data_account_type_liability,False,
pcg_10648,pcg_1064,,10648,Autres réserves réglementées,Regular,account.data_account_type_liability,False,
pcg_1068,pcg_106,,1068,Autres réserves,View,account.data_account_type_view,False,
pcg_10681,pcg_1068,,10681,Réserve de propre assureur,Regular,account.data_account_type_liability,False,
pcg_10688,pcg_1068,,10688,Réserves diverses,Regular,account.data_account_type_liability,False,
pcg_107,pcg_10,,107,Écarts d'équivalence,Regular,account.data_account_type_liability,False,
pcg_108,pcg_10,,108,Compte de l'exploitant,Regular,account.data_account_type_liability,False,Capital pour une Entreprise Individuelle
pcg_109,pcg_10,,109,Actionnaires: capital souscrit - non appelé,Regular,account.data_account_type_asset,False,
pcg_11,pcg_Classe_1,,11,Report à nouveau (solde créditeur ou débiteur),View,account.data_account_type_view,False,
pcg_110,pcg_11,,110,Report à nouveau (solde créditeur),Regular,account.data_account_type_liability,False,
pcg_119,pcg_11,,119,Report à nouveau (solde débiteur),Regular,account.data_account_type_liability,False,
pcg_12,pcg_Classe_1,,12,Résultat de l'exercice (bénéfice ou perte),View,account.data_account_type_view,False,
pcg_120,pcg_12,,120,Résultat de l'exercice (bénéfice),Regular,account.data_account_type_liability,False,
pcg_129,pcg_12,,129,Résultat de l'exercice (perte),Regular,account.data_account_type_liability,False,
pcg_13,pcg_Classe_1,,13,Subventions d'investissement,View,account.data_account_type_view,False,
pcg_131,pcg_13,,131,Subventions d'équipement,View,account.data_account_type_view,False,
pcg_1311,pcg_131,,1311,État,Regular,account.data_account_type_liability,False,
pcg_1312,pcg_131,,1312,Régions,Regular,account.data_account_type_liability,False,
pcg_1313,pcg_131,,1313,Départements,Regular,account.data_account_type_liability,False,
pcg_1314,pcg_131,,1314,Communes,Regular,account.data_account_type_liability,False,
pcg_1315,pcg_131,,1315,Collectivités publiques,Regular,account.data_account_type_liability,False,
pcg_1316,pcg_131,,1316,Entreprises publiques,Regular,account.data_account_type_liability,False,
pcg_1317,pcg_131,,1317,Entreprises et organismes privés,Regular,account.data_account_type_liability,False,
pcg_1318,pcg_131,,1318,Autres,Regular,account.data_account_type_liability,False,
pcg_138,pcg_13,,138,Autres subventions d'investissement (même ventilation que celle du compte 131),Regular,account.data_account_type_liability,False,
pcg_139,pcg_13,,139,Subventions d'investissement inscrites au compte de résultat,View,account.data_account_type_view,False,
pcg_1391,pcg_139,,1391,Subventions d'équipement,View,account.data_account_type_view,False,
pcg_13911,pcg_1391,,13911,Etat,Regular,account.data_account_type_liability,False,
pcg_13912,pcg_1391,,13912,Régions,Regular,account.data_account_type_liability,False,
pcg_13913,pcg_1391,,13913,Départements,Regular,account.data_account_type_liability,False,
pcg_13914,pcg_1391,,13914,Communes,Regular,account.data_account_type_liability,False,
pcg_13915,pcg_1391,,13915,Collectivités publiques,Regular,account.data_account_type_liability,False,
pcg_13916,pcg_1391,,13916,Entreprises publiques,Regular,account.data_account_type_liability,False,
pcg_13917,pcg_1391,,13917,Entreprises et organismes privés ,Regular,account.data_account_type_liability,False,
pcg_13918,pcg_1391,,13918,Autres,Regular,account.data_account_type_liability,False,
pcg_1398,pcg_139,,1398,Autres subventions d'investissement (même ventilation que celle du compte 1391),Regular,account.data_account_type_liability,False,
